date,interest_rate,units_authorized_started,avg_home_price,homeownership_rate,lumber_price_index,house_supply,new_housing_permits,steel_price_index,under_construction,units_completed
1990-01-01,10.13,1426,123900,64.1,55.58,7.0,1441,116.47,891,1402
1990-04-01,10.32,1212,126800,63.9,56.64,8.0,1104,117.47,859,1315
1990-07-01,10.1,1132,117000,63.9,54.72,8.0,1041,117.87,812,1305
1990-10-01,9.96,1043,121500,64.0,51.38,8.0,909,117.07,756,1234
1991-01-01,9.5,895,120000,64.0,51.48,8.0,850,116.47,701,1138
1991-04-01,9.52,1011,119900,64.1,56.66,7.0,957,114.47,662,1085
1991-07-01,9.27,1042,120000,64.1,57.52,7.0,964,113.03,645,1114
1991-10-01,8.69,1087,120000,64.1,55.95,6.0,1012,112.33,633,1030
1992-01-01,8.69,1241,119500,64.1,63.74,5.0,1102,112.37,642,1096
1992-04-01,8.68,1153,120000,64.1,67.32,6.0,1056,111.97,648,1153
1992-07-01,8.02,1184,120000,64.1,64.19,5.0,1093,111.2,634,1171
1992-10-01,8.19,1228,126000,64.3,66.69,5.0,1142,110.33,641,1187
1993-01-01,7.72,1168,125000,63.9,84.53,5.0,1127,112.8,636,1159
1993-04-01,7.45,1266,127000,64.0,87.88,5.0,1115,114.43,646,1173
1993-07-01,7.09,1299,127000,64.0,80.14,5.0,1218,116.83,668,1175
1993-10-01,7.05,1434,127000,64.1,87.76,5.0,1368,119.9,695,1257
1994-01-01,7.3,1391,130000,64.0,93.54,5.0,1334,121.7,719,1279
1994-04-01,8.43,1467,130000,63.9,87.0,6.0,1382,120.27,749,1380
1994-07-01,8.59,1454,129700,63.9,85.13,6.0,1375,121.93,770,1348
1994-10-01,9.11,1472,132000,64.1,83.57,6.0,1378,123.97,781,1376
1995-01-01,8.79,1324,130000,64.4,81.97,7.0,1254,128.23,782,1377
1995-04-01,7.92,1287,133900,64.7,78.27,6.0,1278,129.8,759,1303
1995-07-01,7.7,1415,132000,64.8,78.64,6.0,1387,129.9,772,1299
1995-10-01,7.34,1417,138000,65.1,75.82,6.0,1424,127.3,789,1298
1996-01-01,7.27,1461,137000,65.3,75.58,6.0,1415,126.33,803,1363
1996-04-01,8.1,1496,139900,65.4,83.37,6.0,1450,126.13,828,1396
1996-07-01,8.15,1501,140000,65.4,87.0,5.0,1418,126.13,823,1433
1996-10-01,7.7,1417,144100,65.4,88.23,5.0,1394,124.67,821,1431
1997-01-01,7.79,1433,145000,65.5,91.48,4.0,1421,126.1,812,1456
1997-04-01,7.93,1476,145800,65.7,94.93,5.0,1412,125.97,817,1384
1997-07-01,7.47,1458,145000,65.8,91.63,4.0,1461,126.77,839,1362
1997-10-01,7.21,1532,144200,65.8,86.01,4.0,1475,127.0,865,1415
1998-01-01,7.05,1559,152200,66.0,84.85,4.0,1602,126.43,896,1411
1998-04-01,7.1,1572,149500,66.1,81.91,4.0,1551,125.27,915,1477
1998-07-01,6.87,1631,153000,66.6,79.37,4.0,1614,122.43,944,1508
1998-10-01,6.76,1722,153000,66.5,76.01,4.0,1711,115.9,984,1496
1999-01-01,6.88,1709,157400,66.7,82.54,4.0,1706,113.53,985,1577
1999-04-01,7.18,1574,158700,66.7,87.53,4.0,1647,113.23,987,1617
1999-07-01,7.79,1651,159100,66.8,91.38,4.0,1635,113.77,985,1601
1999-10-01,7.84,1655,165300,66.9,84.06,4.0,1668,115.63,983,1616
2000-01-01,8.26,1659,165300,67.1,85.59,4.0,1690,118.3,992,1652
2000-04-01,8.32,1587,163200,67.3,80.8,5.0,1571,118.33,985,1607
2000-07-01,8.02,1504,168800,67.5,75.23,4.0,1555,116.47,975,1532
2000-10-01,7.62,1544,172900,67.5,73.21,4.0,1578,113.3,970,1524
2001-01-01,7.01,1605,169800,67.6,71.98,4.0,1671,111.1,991,1487
2001-04-01,7.13,1630,179000,67.8,79.02,4.0,1652,109.93,1012,1575
2001-07-01,6.96,1600,172500,67.9,77.09,4.0,1593,109.83,1014,1583
2001-10-01,6.77,1570,171100,67.9,71.92,4.0,1632,107.83,1005,1616
2002-01-01,6.97,1723,188700,67.9,76.2,4.0,1714,107.93,1005,1621
2002-04-01,6.81,1691,187200,67.8,76.9,4.0,1714,112.8,1018,1640
2002-07-01,6.29,1697,178100,67.9,75.21,4.0,1745,117.17,1022,1659
2002-10-01,6.08,1730,190100,68.2,72.83,4.0,1822,118.33,1030,1663
2003-01-01,5.84,1736,186000,68.1,73.08,4.0,1806,119.8,1046,1660
2003-04-01,5.51,1754,191800,68.2,72.25,4.0,1838,119.9,1051,1679
2003-07-01,6.03,1890,191900,68.3,77.37,4.0,1937,120.73,1100,1656
2003-10-01,5.92,2036,198800,68.5,78.5,4.0,1972,125.53,1159,1712
2004-01-01,5.6,1918,212700,68.7,84.91,4.0,1995,142.63,1202,1740
2004-04-01,6.11,1937,217600,69.4,96.81,4.0,2080,154.97,1228,1896
2004-07-01,5.89,1977,213500,68.9,99.85,4.0,2070,171.4,1244,1863
2004-10-01,5.74,1965,228800,69.1,88.35,4.0,2086,180.63,1271,1839
2005-01-01,5.77,2072,232500,69.2,92.49,4.0,2105,179.13,1312,1862
2005-04-01,5.71,2051,233700,68.7,91.71,4.0,2138,169.87,1325,1998
2005-07-01,5.76,2100,236400,68.7,88.52,4.0,2228,163.67,1357,1920
2005-10-01,6.23,2069,243600,68.9,86.29,5.0,2169,171.9,1392,1937
2006-01-01,6.25,2120,247700,68.6,91.01,6.0,2157,176.67,1423,2110
2006-04-01,6.6,1855,246300,68.8,89.0,6.0,1923,184.47,1398,2006
2006-07-01,6.56,1702,235600,68.9,80.58,7.0,1713,193.8,1340,1941
2006-10-01,6.24,1570,245400,68.8,73.3,7.0,1581,191.17,1265,1900
2007-01-01,6.21,1461,257400,68.5,76.46,8.0,1607,197.13,1205,1695
2007-04-01,6.36,1451,242200,68.3,76.56,8.0,1457,206.77,1169,1519
2007-07-01,6.55,1289,241800,68.0,76.67,9.0,1314,201.53,1125,1467
2007-10-01,6.22,1166,238400,67.8,70.98,9.0,1188,198.8,1078,1374
2008-01-01,5.87,1064,233900,67.9,67.16,10.0,1025,216.4,1027,1267
2008-04-01,6.09,1011,235300,68.1,71.23,11.0,1061,268.43,992,1102
2008-07-01,6.32,862,226500,67.7,71.67,11.0,859,287.17,932,1088
2008-10-01,5.84,663,222500,67.5,65.49,11.0,639,213.67,841,1051
2009-01-01,5.06,526,208400,67.4,60.9,11.0,539,185.6,752,812
2009-04-01,5.01,534,220900,67.4,59.59,10.0,559,169.73,651,820
2009-07-01,5.16,588,214300,67.4,64.11,8.0,607,186.3,592,770
2009-10-01,4.92,568,219000,67.2,64.77,8.0,623,194.37,534,780
2010-01-01,5.0,618,222900,67.2,70.78,8.0,658,212.33,495,665
2010-04-01,4.92,602,219500,66.9,76.17,8.0,600,233.67,470,778
2010-07-01,4.45,580,224100,66.7,68.34,8.0,574,223.6,442,599
2010-10-01,4.44,542,224300,66.5,68.31,8.0,583,224.53,431,574
2011-01-01,4.85,582,226900,66.5,72.3,8.0,567,247.27,425,575
2011-04-01,4.65,574,228100,66.0,70.63,7.0,612,256.83,416,559
2011-07-01,4.29,619,223500,66.1,70.44,6.0,626,256.77,416,617
2011-10-01,4.0,672,221100,65.9,69.6,6.0,691,252.07,430,587
2012-01-01,3.92,707,238400,65.6,71.44,5.0,752,254.57,450,563
2012-04-01,3.79,739,238700,65.6,76.46,5.0,774,247.27,474,641
2012-07-01,3.55,780,248800,65.4,76.62,5.0,873,233.0,499,671
2012-10-01,3.36,908,251700,65.3,78.17,5.0,915,228.0,535,692
2013-01-01,3.5,953,258400,65.2,91.27,4.0,952,227.6,579,753
2013-04-01,3.67,868,268100,65.1,90.76,4.0,986,224.53,618,719
2013-07-01,4.44,882,264800,65.2,83.47,5.0,988,224.8,652,775
2013-10-01,4.29,1009,273600,65.1,86.85,5.0,1026,228.77,688,806
2014-01-01,4.36,934,275200,64.9,91.55,5.0,1027,234.73,718,869
2014-04-01,4.23,987,288000,64.8,90.3,6.0,1039,233.57,756,842
2014-07-01,4.14,1031,281000,64.3,91.51,6.0,1067,233.2,793,907
2014-10-01,3.96,1049,298900,63.9,89.08,5.0,1075,226.93,815,913
2015-01-01,3.72,977,289200,63.8,87.91,5.0,1083,212.27,834,866
2015-04-01,3.82,1158,289100,63.5,84.7,5.0,1272,199.83,881,992
2015-07-01,3.95,1167,295800,63.6,84.26,5.0,1150,193.9,923,1001
2015-10-01,3.9,1125,302500,63.7,82.9,5.0,1205,176.3,958,1003
2016-01-01,3.74,1143,299800,63.5,83.57,6.0,1154,173.73,979,1032
2016-04-01,3.59,1171,306000,63.1,88.36,5.0,1187,190.2,1008,1018
2016-07-01,3.45,1159,303800,63.4,90.04,5.0,1225,193.27,1036,1054
2016-10-01,3.84,1235,310900,63.5,88.5,5.0,1255,190.7,1051,1138
2017-01-01,4.17,1221,313100,63.6,93.02,5.0,1275,208.47,1069,1129
2017-04-01,3.98,1184,318200,63.9,99.06,5.0,1265,213.2,1072,1158
2017-07-01,3.88,1179,320500,63.9,99.85,6.0,1278,215.23,1084,1127
2017-10-01,3.92,1236,337900,64.0,102.54,5.0,1319,211.07,1102,1191
2018-01-01,4.28,1308,331800,64.2,108.26,5.0,1364,222.4,1113,1228
2018-04-01,4.54,1279,315600,64.5,115.97,6.0,1347,238.53,1126,1231
2018-07-01,4.57,1240,330900,64.4,109.37,7.0,1294,244.6,1130,1196
2018-10-01,4.78,1162,322800,64.6,92.89,7.0,1310,245.53,1145,1103
2019-01-01,4.37,1196,313000,64.2,94.7,6.0,1305,238.23,1140,1300
2019-04-01,4.01,1274,322500,64.3,93.3,6.0,1317,228.77,1132,1239
2019-07-01,3.66,1293,318400,64.7,95.45,6.0,1429,215.67,1151,1217
2019-10-01,3.7,1405,327100,65.0,96.33,5.0,1490,206.27,1168,1280
2020-01-01,3.52,1485,329000,65.3,101.6,6.0,1470,210.6,1209,1283
2020-04-01,3.24,1086,322600,68.1,100.0,5.0,1212,203.9,1187,1204
2020-07-01,2.95,1440,337500,67.3,145.0,4.0,1551,202.17,1210,1327
2020-10-01,2.76,1575,358700,65.7,147.59,4.0,1683,216.4,1246,1329
2021-01-01,2.88,1599,347500,65.6,183.76,4.0,1788,266.97,1293,1391
2021-04-01,3.0,1586,,65.6,233.49,6.0,1670,335.53,1344,1361
