DATE,MORTGAGE30US
1990-01-01,10.1315384615384615
1990-04-01,10.3238461538461538
1990-07-01,10.1030769230769231
1990-10-01,9.9592307692307692
1991-01-01,9.5007692307692308
1991-04-01,9.5223076923076923
1991-07-01,9.2730769230769231
1991-10-01,8.6900000000000000
1992-01-01,8.6884615384615385
1992-04-01,8.6776923076923077
1992-07-01,8.0176923076923077
1992-10-01,8.1921428571428571
1993-01-01,7.7233333333333333
1993-04-01,7.4530769230769231
1993-07-01,7.0876923076923077
1993-10-01,7.0464285714285714
1994-01-01,7.2958333333333333
1994-04-01,8.4276923076923077
1994-07-01,8.5942857142857143
1994-10-01,9.1053846153846154
1995-01-01,8.7853846153846154
1995-04-01,7.9176923076923077
1995-07-01,7.6961538461538462
1995-10-01,7.3392307692307692
1996-01-01,7.2723076923076923
1996-04-01,8.1023076923076923
1996-07-01,8.1469230769230769
1996-10-01,7.7030769230769231
1997-01-01,7.7930769230769231
1997-04-01,7.9269230769230769
1997-07-01,7.4700000000000000
1997-10-01,7.2053846153846154
1998-01-01,7.0500000000000000
1998-04-01,7.0976923076923077
1998-07-01,6.8723076923076923
1998-10-01,6.7642857142857143
1999-01-01,6.8775000000000000
1999-04-01,7.1815384615384615
1999-07-01,7.7861538461538462
1999-10-01,7.8407142857142857
2000-01-01,8.2569230769230769
2000-04-01,8.3161538461538462
2000-07-01,8.0200000000000000
2000-10-01,7.6207692307692308
2001-01-01,7.0069230769230769
2001-04-01,7.1300000000000000
2001-07-01,6.9638461538461538
2001-10-01,6.7707692307692308
2002-01-01,6.9715384615384615
2002-04-01,6.8130769230769231
2002-07-01,6.2892307692307692
2002-10-01,6.0753846153846154
2003-01-01,5.8407692307692308
2003-04-01,5.5069230769230769
2003-07-01,6.0338461538461538
2003-10-01,5.9192857142857143
2004-01-01,5.5975000000000000
2004-04-01,6.1061538461538462
2004-07-01,5.8942857142857143
2004-10-01,5.7361538461538462
2005-01-01,5.7684615384615385
2005-04-01,5.7084615384615385
2005-07-01,5.7638461538461538
2005-10-01,6.2261538461538462
2006-01-01,6.2469230769230769
2006-04-01,6.6023076923076923
2006-07-01,6.5600000000000000
2006-10-01,6.2438461538461538
2007-01-01,6.2146153846153846
2007-04-01,6.3584615384615385
2007-07-01,6.5515384615384615
2007-10-01,6.2246153846153846
2008-01-01,5.8723076923076923
2008-04-01,6.0869230769230769
2008-07-01,6.3223076923076923
2008-10-01,5.8414285714285714
2009-01-01,5.0600000000000000
2009-04-01,5.0123076923076923
2009-07-01,5.1623076923076923
2009-10-01,4.9221428571428571
2010-01-01,4.9958333333333333
2010-04-01,4.9223076923076923
2010-07-01,4.4471428571428571
2010-10-01,4.4361538461538462
2011-01-01,4.8469230769230769
2011-04-01,4.6507692307692308
2011-07-01,4.2915384615384615
2011-10-01,4.0023076923076923
2012-01-01,3.9223076923076923
2012-04-01,3.7946153846153846
2012-07-01,3.5538461538461538
2012-10-01,3.3592307692307692
2013-01-01,3.4969230769230769
2013-04-01,3.6723076923076923
2013-07-01,4.4400000000000000
2013-10-01,4.2930769230769231
2014-01-01,4.3646153846153846
2014-04-01,4.2276923076923077
2014-07-01,4.1353846153846154
2014-10-01,3.9635714285714286
2015-01-01,3.7166666666666667
2015-04-01,3.8192307692307692
2015-07-01,3.9546153846153846
2015-10-01,3.8978571428571429
2016-01-01,3.7384615384615385
2016-04-01,3.5892307692307692
2016-07-01,3.4461538461538462
2016-10-01,3.8423076923076923
2017-01-01,4.1730769230769231
2017-04-01,3.9800000000000000
2017-07-01,3.8838461538461538
2017-10-01,3.9223076923076923
2018-01-01,4.2823076923076923
2018-04-01,4.5446153846153846
2018-07-01,4.5669230769230769
2018-10-01,4.7846153846153846
2019-01-01,4.3738461538461538
2019-04-01,4.0107692307692308
2019-07-01,3.6584615384615385
2019-10-01,3.7000000000000000
2020-01-01,3.5215384615384615
2020-04-01,3.2392307692307692
2020-07-01,2.9523076923076923
2020-10-01,2.7607142857142857
2021-01-01,2.8758333333333333
2021-04-01,3.0038461538461538
2021-07-01,.
