DATE,HOUST
1990-01-01,1425.6666666666666667
1990-04-01,1212.3333333333333333
1990-07-01,1132.0000000000000000
1990-10-01,1042.6666666666666667
1991-01-01,894.6666666666666667
1991-04-01,1011.0000000000000000
1991-07-01,1042.3333333333333333
1991-10-01,1087.0000000000000000
1992-01-01,1241.0000000000000000
1992-04-01,1152.6666666666666667
1992-07-01,1183.6666666666666667
1992-10-01,1228.3333333333333333
1993-01-01,1167.6666666666666667
1993-04-01,1266.0000000000000000
1993-07-01,1299.0000000000000000
1993-10-01,1433.6666666666666667
1994-01-01,1391.0000000000000000
1994-04-01,1466.6666666666666667
1994-07-01,1454.3333333333333333
1994-10-01,1472.0000000000000000
1995-01-01,1324.0000000000000000
1995-04-01,1287.3333333333333333
1995-07-01,1415.3333333333333333
1995-10-01,1417.3333333333333333
1996-01-01,1460.6666666666666667
1996-04-01,1495.6666666666666667
1996-07-01,1501.3333333333333333
1996-10-01,1417.0000000000000000
1997-01-01,1432.6666666666666667
1997-04-01,1476.0000000000000000
1997-07-01,1457.6666666666666667
1997-10-01,1532.0000000000000000
1998-01-01,1558.6666666666666667
1998-04-01,1572.3333333333333333
1998-07-01,1631.3333333333333333
1998-10-01,1722.3333333333333333
1999-01-01,1709.3333333333333333
1999-04-01,1574.3333333333333333
1999-07-01,1650.6666666666666667
1999-10-01,1654.6666666666666667
2000-01-01,1659.0000000000000000
2000-04-01,1586.6666666666666667
2000-07-01,1503.6666666666666667
2000-10-01,1544.0000000000000000
2001-01-01,1605.0000000000000000
2001-04-01,1630.0000000000000000
2001-07-01,1599.6666666666666667
2001-10-01,1570.0000000000000000
2002-01-01,1723.0000000000000000
2002-04-01,1691.0000000000000000
2002-07-01,1697.3333333333333333
2002-10-01,1729.6666666666666667
2003-01-01,1736.0000000000000000
2003-04-01,1753.6666666666666667
2003-07-01,1889.6666666666666667
2003-10-01,2035.6666666666666667
2004-01-01,1918.3333333333333333
2004-04-01,1937.3333333333333333
2004-07-01,1977.0000000000000000
2004-10-01,1965.3333333333333333
2005-01-01,2071.6666666666666667
2005-04-01,2051.3333333333333333
2005-07-01,2100.0000000000000000
2005-10-01,2068.6666666666666667
2006-01-01,2120.3333333333333333
2006-04-01,1855.0000000000000000
2006-07-01,1702.3333333333333333
2006-10-01,1570.0000000000000000
2007-01-01,1461.3333333333333333
2007-04-01,1451.0000000000000000
2007-07-01,1289.0000000000000000
2007-10-01,1166.0000000000000000
2008-01-01,1064.0000000000000000
2008-04-01,1010.6666666666666667
2008-07-01,862.3333333333333333
2008-10-01,663.0000000000000000
2009-01-01,525.6666666666666667
2009-04-01,534.3333333333333333
2009-07-01,588.3333333333333333
2009-10-01,567.6666666666666667
2010-01-01,618.0000000000000000
2010-04-01,602.0000000000000000
2010-07-01,579.6666666666666667
2010-10-01,542.3333333333333333
2011-01-01,582.3333333333333333
2011-04-01,574.3333333333333333
2011-07-01,619.3333333333333333
2011-10-01,671.6666666666666667
2012-01-01,707.3333333333333333
2012-04-01,739.3333333333333333
2012-07-01,780.3333333333333333
2012-10-01,908.0000000000000000
2013-01-01,953.3333333333333333
2013-04-01,868.0000000000000000
2013-07-01,882.3333333333333333
2013-10-01,1009.0000000000000000
2014-01-01,934.0000000000000000
2014-04-01,987.0000000000000000
2014-07-01,1030.6666666666666667
2014-10-01,1049.3333333333333333
2015-01-01,977.0000000000000000
2015-04-01,1158.0000000000000000
2015-07-01,1166.6666666666666667
2015-10-01,1125.3333333333333333
2016-01-01,1142.6666666666666667
2016-04-01,1171.3333333333333333
2016-07-01,1159.3333333333333333
2016-10-01,1235.0000000000000000
2017-01-01,1221.3333333333333333
2017-04-01,1184.0000000000000000
2017-07-01,1178.6666666666666667
2017-10-01,1236.0000000000000000
2018-01-01,1308.3333333333333333
2018-04-01,1279.3333333333333333
2018-07-01,1239.6666666666666667
2018-10-01,1162.0000000000000000
2019-01-01,1196.3333333333333333
2019-04-01,1274.0000000000000000
2019-07-01,1293.3333333333333333
2019-10-01,1405.0000000000000000
2020-01-01,1485.0000000000000000
2020-04-01,1085.6666666666666667
2020-07-01,1440.3333333333333333
2020-10-01,1575.3333333333333333
2021-01-01,1599.0000000000000000
2021-04-01,1586.0000000000000000
