date,lumber_price
1990-01-01,55.58331
1990-04-01,56.6412
1990-07-01,54.71643
1990-10-01,51.38113
1991-01-01,51.48398
1991-04-01,56.65589
1991-07-01,57.52277
1991-10-01,55.95063
1992-01-01,63.73788
1992-04-01,67.32295
1992-07-01,64.19336
1992-10-01,66.69115
1993-01-01,84.52836
1993-04-01,87.87834
1993-07-01,80.13517
1993-10-01,87.7608
1994-01-01,93.53512
1994-04-01,86.99677
1994-07-01,85.13077
1994-10-01,83.57332
1995-01-01,81.97179
1995-04-01,78.26917
1995-07-01,78.6365
1995-10-01,75.81546
1996-01-01,75.58037
1996-04-01,83.36762
1996-07-01,86.99677
1996-10-01,88.23097
1997-01-01,91.47811
1997-04-01,94.93094
1997-07-01,91.62504
1997-10-01,86.01234
1998-01-01,84.8516
1998-04-01,81.91302
1998-07-01,79.37114
1998-10-01,76.00646
1999-01-01,82.54481
1999-04-01,87.52571
1999-07-01,91.37526
1999-10-01,84.05818
2000-01-01,85.58625
2000-04-01,80.79636
2000-07-01,75.22774
2000-10-01,73.21481
2001-01-01,71.98061
2001-04-01,79.01851
2001-07-01,77.09374
2001-10-01,71.92183
2002-01-01,76.19747
2002-04-01,76.90273
2002-07-01,75.21305
2002-10-01,72.83279
2003-01-01,73.08257
2003-04-01,72.24508
2003-07-01,77.37291
2003-10-01,78.50426
2004-01-01,84.91037
2004-04-01,96.81164
2004-07-01,99.85307
2004-10-01,88.34852
2005-01-01,92.49192
2005-04-01,91.71319
2005-07-01,88.52483
2005-10-01,86.29151
2006-01-01,91.00793
2006-04-01,88.995
2006-07-01,80.57596
2006-10-01,73.30297
2007-01-01,76.46195
2007-04-01,76.5648
2007-07-01,76.66765
2007-10-01,70.98149
2008-01-01,67.16133
2008-04-01,71.23127
2008-07-01,71.67205
2008-10-01,65.48634
2009-01-01,60.90215
2009-04-01,59.59448
2009-07-01,64.1052
2009-10-01,64.76638
2010-01-01,70.77579
2010-04-01,76.16809
2010-07-01,68.33676
2010-10-01,68.30738
2011-01-01,72.30385
2011-04-01,70.62886
2011-07-01,70.43785
2011-10-01,69.60035
2012-01-01,71.43697
2012-04-01,76.46195
2012-07-01,76.62357
2012-10-01,78.16632
2013-01-01,91.27241
2013-04-01,90.75815
2013-07-01,83.47047
2013-10-01,86.84984
2014-01-01,91.55157
2014-04-01,90.30267
2014-07-01,91.50749
2014-10-01,89.08316
2015-01-01,87.90773
2015-04-01,84.70467
2015-07-01,84.26388
2015-10-01,82.89744
2016-01-01,83.57332
2016-04-01,88.36321
2016-07-01,90.0382
2016-10-01,88.49545
2017-01-01,93.02086
2017-04-01,99.05965
2017-07-01,99.85307
2017-10-01,102.54187
2018-01-01,108.25742
2018-04-01,115.9712
2018-07-01,109.37408
2018-10-01,92.88863
2019-01-01,94.69586
2019-04-01,93.30003
2019-07-01,95.4452
2019-10-01,96.32677
2020-01-01,101.60153
2020-04-01,100
2020-07-01,145.00441
2020-10-01,147.59036
2021-01-01,183.76433
2021-04-01,233.48516
