DATE,PERMIT
1990-01-01,1246
1990-04-01,1108
1990-07-01,976
1990-10-01,861
1991-01-01,911
1991-04-01,964
1991-07-01,974
1991-10-01,1061
1992-01-01,1082
1992-04-01,1057
1992-07-01,1114
1992-10-01,1176
1993-01-01,1056
1993-04-01,1130
1993-07-01,1251
1993-10-01,1461
1994-01-01,1342
1994-04-01,1357
1994-07-01,1412
1994-10-01,1396
1995-01-01,1226
1995-04-01,1305
1995-07-01,1421
1995-10-01,1442
1996-01-01,1437
1996-04-01,1429
1996-07-01,1392
1996-10-01,1411
1997-01-01,1436
1997-04-01,1402
1997-07-01,1494
1997-10-01,1456
1998-01-01,1605
1998-04-01,1551
1998-07-01,1577
1998-10-01,1742
1999-01-01,1665
1999-04-01,1702
1999-07-01,1551
1999-10-01,1683
2000-01-01,1651
2000-04-01,1572
2000-07-01,1570
2000-10-01,1543
2001-01-01,1659
2001-04-01,1626
2001-07-01,1565
2001-10-01,1680
2002-01-01,1691
2002-04-01,1758
2002-07-01,1803
2002-10-01,1896
2003-01-01,1757.0
2003-04-01,1875.0
2003-07-01,1961.0
2003-10-01,1987.0
2004-01-01,2066.0
2004-04-01,2020.0
2004-07-01,2041.0
2004-10-01,2082.0
2005-01-01,2062.0
2005-04-01,2178.0
2005-07-01,2263.0
2005-10-01,2120.0
2006-01-01,2118.0
2006-04-01,1867.0
2006-07-01,1655.0
2006-10-01,1638.0
2007-01-01,1596.0
2007-04-01,1407.0
2007-07-01,1261.0
2007-10-01,1149.0
2008-01-01,967
2008-04-01,1180
2008-07-01,797
2008-10-01,554
2009-01-01,513
2009-04-01,601
2009-07-01,609
2009-10-01,664
2010-01-01,687
2010-04-01,587
2010-07-01,563
2010-10-01,632
2011-01-01,583
2011-04-01,636
2011-07-01,610
2011-10-01,697
2012-01-01,806.0
2012-04-01,794.0
2012-07-01,930.0
2012-10-01,941.0
2013-01-01,936.0
2013-04-01,942.0
2013-07-01,1004.0
2013-10-01,1005.0
2014-01-01,1067.0
2014-04-01,1010.0
2014-07-01,1077.0
2014-10-01,1072.0
2015-01-01,1072.0
2015-04-01,1379.0
2015-07-01,1144.0
2015-10-01,1212.0
2016-01-01,1114.0
2016-04-01,1208.0
2016-07-01,1280.0
2016-10-01,1252.0
2017-01-01,1285.0
2017-04-01,1329.0
2017-07-01,1257.0
2017-10-01,1309.0
2018-01-01,1407.0
2018-04-01,1320.0
2018-07-01,1289.0
2018-10-01,1338.0
2019-01-01,1316.0
2019-04-01,1276.0
2019-07-01,1439.0
2019-10-01,1453.0
2020-01-01,1382.0
2020-04-01,1296.0
2020-07-01,1589.0
2020-10-01,1758.0
2021-01-01,1755.0
2021-04-01,1594.0
