DATE,WPU101
1990-01-01,116.4666666666666667
1990-04-01,117.4666666666666667
1990-07-01,117.8666666666666667
1990-10-01,117.0666666666666667
1991-01-01,116.4666666666666667
1991-04-01,114.4666666666666667
1991-07-01,113.0333333333333333
1991-10-01,112.3333333333333333
1992-01-01,112.3666666666666667
1992-04-01,111.9666666666666667
1992-07-01,111.2000000000000000
1992-10-01,110.3333333333333333
1993-01-01,112.8000000000000000
1993-04-01,114.4333333333333333
1993-07-01,116.8333333333333333
1993-10-01,119.9000000000000000
1994-01-01,121.7000000000000000
1994-04-01,120.2666666666666667
1994-07-01,121.9333333333333333
1994-10-01,123.9666666666666667
1995-01-01,128.2333333333333333
1995-04-01,129.8000000000000000
1995-07-01,129.9000000000000000
1995-10-01,127.3000000000000000
1996-01-01,126.3333333333333333
1996-04-01,126.1333333333333333
1996-07-01,126.1333333333333333
1996-10-01,124.6666666666666667
1997-01-01,126.1000000000000000
1997-04-01,125.9666666666666667
1997-07-01,126.7666666666666667
1997-10-01,127.0000000000000000
1998-01-01,126.4333333333333333
1998-04-01,125.2666666666666667
1998-07-01,122.4333333333333333
1998-10-01,115.9000000000000000
1999-01-01,113.5333333333333333
1999-04-01,113.2333333333333333
1999-07-01,113.7666666666666667
1999-10-01,115.6333333333333333
2000-01-01,118.3000000000000000
2000-04-01,118.3333333333333333
2000-07-01,116.4666666666666667
2000-10-01,113.3000000000000000
2001-01-01,111.1000000000000000
2001-04-01,109.9333333333333333
2001-07-01,109.8333333333333333
2001-10-01,107.8333333333333333
2002-01-01,107.9333333333333333
2002-04-01,112.8000000000000000
2002-07-01,117.1666666666666667
2002-10-01,118.3333333333333333
2003-01-01,119.8000000000000000
2003-04-01,119.9000000000000000
2003-07-01,120.7333333333333333
2003-10-01,125.5333333333333333
2004-01-01,142.6333333333333333
2004-04-01,154.9666666666666667
2004-07-01,171.4000000000000000
2004-10-01,180.6333333333333333
2005-01-01,179.1333333333333333
2005-04-01,169.8666666666666667
2005-07-01,163.6666666666666667
2005-10-01,171.9000000000000000
2006-01-01,176.6666666666666667
2006-04-01,184.4666666666666667
2006-07-01,193.8000000000000000
2006-10-01,191.1666666666666667
2007-01-01,197.1333333333333333
2007-04-01,206.7666666666666667
2007-07-01,201.5333333333333333
2007-10-01,198.8000000000000000
2008-01-01,216.4000000000000000
2008-04-01,268.4333333333333333
2008-07-01,287.1666666666666667
2008-10-01,213.6666666666666667
2009-01-01,185.6000000000000000
2009-04-01,169.7333333333333333
2009-07-01,186.3000000000000000
2009-10-01,194.3666666666666667
2010-01-01,212.3333333333333333
2010-04-01,233.6666666666666667
2010-07-01,223.6000000000000000
2010-10-01,224.5333333333333333
2011-01-01,247.2666666666666667
2011-04-01,256.8333333333333333
2011-07-01,256.7666666666666667
2011-10-01,252.0666666666666667
2012-01-01,254.5666666666666667
2012-04-01,247.2666666666666667
2012-07-01,233.0000000000000000
2012-10-01,228.0000000000000000
2013-01-01,227.6000000000000000
2013-04-01,224.5333333333333333
2013-07-01,224.8000000000000000
2013-10-01,228.7666666666666667
2014-01-01,234.7333333333333333
2014-04-01,233.5666666666666667
2014-07-01,233.2000000000000000
2014-10-01,226.9333333333333333
2015-01-01,212.2666666666666667
2015-04-01,199.8333333333333333
2015-07-01,193.9000000000000000
2015-10-01,176.3000000000000000
2016-01-01,173.7333333333333333
2016-04-01,190.2000000000000000
2016-07-01,193.2666666666666667
2016-10-01,190.7000000000000000
2017-01-01,208.4666666666666667
2017-04-01,213.2000000000000000
2017-07-01,215.2333333333333333
2017-10-01,211.0666666666666667
2018-01-01,222.4000000000000000
2018-04-01,238.5333333333333333
2018-07-01,244.6000000000000000
2018-10-01,245.5333333333333333
2019-01-01,238.2333333333333333
2019-04-01,228.7666666666666667
2019-07-01,215.6666666666666667
2019-10-01,206.2666666666666667
2020-01-01,210.6000000000000000
2020-04-01,203.9000000000000000
2020-07-01,202.1666666666666667
2020-10-01,216.4000000000000000
2021-01-01,266.9666666666666667
2021-04-01,335.5333333333333333
