DATE,COMPUTSA
1990-01-01,1345
1990-04-01,1263
1990-07-01,1312
1990-10-01,1173
1991-01-01,1176
1991-04-01,1093
1991-07-01,1216
1991-10-01,1002
1992-01-01,1128
1992-04-01,1189
1992-07-01,1123
1992-10-01,1199
1993-01-01,1105
1993-04-01,1193
1993-07-01,1172
1993-10-01,1289
1994-01-01,1257
1994-04-01,1336
1994-07-01,1414
1994-10-01,1386
1995-01-01,1413
1995-04-01,1242
1995-07-01,1279
1995-10-01,1200
1996-01-01,1369
1996-04-01,1437
1996-07-01,1379
1996-10-01,1487
1997-01-01,1445
1997-04-01,1315
1997-07-01,1442
1997-10-01,1428
1998-01-01,1477
1998-04-01,1467
1998-07-01,1452
1998-10-01,1433
1999-01-01,1673
1999-04-01,1648
1999-07-01,1643
1999-10-01,1659
2000-01-01,1704
2000-04-01,1530
2000-07-01,1528
2000-10-01,1521
2001-01-01,1470
2001-04-01,1654
2001-07-01,1551
2001-10-01,1693
2002-01-01,1559
2002-04-01,1589
2002-07-01,1641
2002-10-01,1671
2003-01-01,1638
2003-04-01,1641
2003-07-01,1719
2003-10-01,1716
2004-01-01,1794
2004-04-01,1857
2004-07-01,1796
2004-10-01,1921
2005-01-01,1787
2005-04-01,1965
2005-07-01,1922
2005-10-01,1941
2006-01-01,2245
2006-04-01,2050
2006-07-01,2011
2006-10-01,1888
2007-01-01,1623
2007-04-01,1481
2007-07-01,1356
2007-10-01,1328
2008-01-01,1195
2008-04-01,1142
2008-07-01,1160
2008-10-01,1021
2009-01-01,839
2009-04-01,797
2009-07-01,721
2009-10-01,750
2010-01-01,635
2010-04-01,894
2010-07-01,632
2010-10-01,565
2011-01-01,591
2011-04-01,579
2011-07-01,603
2011-10-01,610
2012-01-01,582
2012-04-01,625
2012-07-01,652
2012-10-01,677
2013-01-01,816.0
2013-04-01,736.0
2013-07-01,776.0
2013-10-01,778.0
2014-01-01,893.0
2014-04-01,800.0
2014-07-01,975.0
2014-10-01,955.0
2015-01-01,781.0
2015-04-01,962.0
2015-07-01,1040.0
2015-10-01,1023.0
2016-01-01,1003.0
2016-04-01,1109.0
2016-07-01,1035.0
2016-10-01,1101.0
2017-01-01,1162.0
2017-04-01,1238.0
2017-07-01,1108.0
2017-10-01,1203.0
2018-01-01,1189.0
2018-04-01,1216.0
2018-07-01,1174.0
2018-10-01,1052.0
2019-01-01,1316.0
2019-04-01,1170.0
2019-07-01,1136.0
2019-10-01,1308.0
2020-01-01,1267.0
2020-04-01,1243.0
2020-07-01,1426.0
2020-10-01,1386.0
2021-01-01,1497.0
2021-04-01,1324.0
